kind bitwidth op nlimbs prime real user sys mem
montgomery 64 fesub 4 2e198m17 22.40 22.04 0.33 795820
montgomery 64 feadd 4 2e205m45x2e198m1 20.50 20.15 0.34 796544
montgomery 64 fenz 4 2e205m45x2e198m1 14.81 14.54 0.26 732940
montgomery 64 feopp 4 2e205m45x2e198m1 16.89 16.61 0.27 758324
montgomery 64 fesub 4 2e205m45x2e198m1 22.35 22.03 0.29 796404
montgomery 64 feadd 4 2e206m5 20.48 20.17 0.30 796784
montgomery 64 fenz 4 2e206m5 14.78 14.46 0.32 733384
montgomery 64 feopp 4 2e206m5 16.99 16.68 0.30 758020
montgomery 64 fesub 4 2e206m5 22.48 22.10 0.35 796340
montgomery 64 feadd 4 2e212m29 20.59 20.22 0.36 795956
montgomery 64 fenz 4 2e212m29 14.80 14.51 0.28 733536
montgomery 64 feopp 4 2e212m29 17.00 16.65 0.32 758860
montgomery 64 fesub 4 2e212m29 22.45 22.12 0.32 796388
montgomery 64 feadd 4 2e213m3 20.61 20.26 0.34 795872
montgomery 64 fenz 4 2e213m3 14.82 14.52 0.29 733084
montgomery 64 feopp 4 2e213m3 17.00 16.64 0.35 759912
montgomery 64 fesub 4 2e213m3 22.47 22.16 0.30 796136
montgomery 64 feadd 4 2e216m2e108m1 20.57 20.25 0.32 795784
montgomery 64 fenz 4 2e216m2e108m1 14.78 14.50 0.28 733644
montgomery 64 feopp 4 2e216m2e108m1 16.87 16.56 0.30 758672
montgomery 64 fesub 4 2e216m2e108m1 22.38 22.02 0.36 796460
montgomery 64 feadd 4 2e221m3 20.45 20.16 0.28 796324
montgomery 64 fenz 4 2e221m3 14.73 14.42 0.30 733284
montgomery 64 feopp 4 2e221m3 16.91 16.51 0.36 757188
montgomery 64 fesub 4 2e221m3 22.35 22.02 0.33 796296
montgomery 64 feadd 4 2e222m117 20.49 20.17 0.31 796232
montgomery 64 fenz 4 2e222m117 14.78 14.47 0.29 733496
montgomery 64 feopp 4 2e222m117 16.99 16.61 0.34 758372
montgomery 64 fesub 4 2e222m117 22.37 22.06 0.30 796284
montgomery 64 feadd 4 2e224m2e96p1 20.46 20.08 0.37 796244
montgomery 64 fenz 4 2e224m2e96p1 14.80 14.54 0.25 733504
montgomery 64 feopp 4 2e224m2e96p1 16.85 16.57 0.28 757220
montgomery 64 fesub 4 2e224m2e96p1 22.47 22.12 0.34 795104
montgomery 64 feadd 4 2e226m5 20.54 20.24 0.30 796648
montgomery 64 fenz 4 2e226m5 14.86 14.61 0.24 732956
montgomery 64 feopp 4 2e226m5 16.99 16.67 0.31 758480
montgomery 64 fesub 4 2e226m5 22.51 22.20 0.30 795560
montgomery 64 feadd 4 2e230m27 20.57 20.25 0.32 796716
montgomery 64 fenz 4 2e230m27 14.78 14.45 0.30 733240
montgomery 64 feopp 4 2e230m27 16.87 16.52 0.35 759088
montgomery 64 fesub 4 2e230m27 22.38 22.04 0.33 795644
montgomery 64 feadd 4 2e235m15 20.56 20.04 0.48 796072
montgomery 64 fenz 4 2e235m15 14.75 14.45 0.29 733580
montgomery 64 feopp 4 2e235m15 16.90 16.56 0.34 759272
montgomery 64 fesub 4 2e235m15 22.34 21.99 0.32 795976
montgomery 64 feadd 4 2e243m9 20.51 20.12 0.38 796944
montgomery 64 fenz 4 2e243m9 14.73 14.44 0.28 733356
montgomery 64 feopp 4 2e243m9 16.92 16.66 0.25 757856
montgomery 64 fesub 4 2e243m9 22.32 21.91 0.40 796144
montgomery 64 feadd 4 2e251m9 20.58 20.23 0.33 791432
montgomery 64 fenz 4 2e251m9 14.78 14.48 0.29 733332
montgomery 64 feopp 4 2e251m9 16.98 16.62 0.34 758692
montgomery 64 fesub 4 2e251m9 22.57 22.19 0.35 796128
montgomery 64 feadd 4 2e254m127x2e240m1 20.57 20.24 0.32 791288
montgomery 64 fenz 4 2e254m127x2e240m1 14.78 14.52 0.26 733332
montgomery 64 feopp 4 2e254m127x2e240m1 17.07 16.76 0.28 758124
montgomery 64 fesub 4 2e254m127x2e240m1 22.64 22.33 0.30 796404
montgomery 64 feadd 4 2e255m19 20.64 20.33 0.31 793852
montgomery 64 fenz 4 2e255m19 14.78 14.50 0.27 733396
montgomery 64 feopp 4 2e255m19 16.97 16.63 0.33 757416
montgomery 64 fesub 4 2e255m19 22.44 22.13 0.30 796088
montgomery 64 feadd 4 2e255m765 20.61 20.33 0.27 793112
montgomery 64 fenz 4 2e255m765 14.85 14.58 0.27 733288
montgomery 64 feopp 4 2e255m765 16.96 16.66 0.30 758212
montgomery 64 fesub 4 2e255m765 22.42 22.10 0.31 796068
montgomery 64 feadd 4 2e256m189 20.51 20.21 0.30 794056
montgomery 64 fenz 4 2e256m189 14.83 14.52 0.29 732940
montgomery 64 feopp 4 2e256m189 16.93 16.64 0.28 757788
montgomery 64 fesub 4 2e256m189 22.43 22.09 0.33 795780
montgomery 64 feadd 4 2e256m2e224p2e192p2e96m1 20.39 19.97 0.38 795872
montgomery 64 fenz 4 2e256m2e224p2e192p2e96m1 14.85 14.58 0.26 733292
