kind bitwidth op nlimbs prime real user sys mem
solinas 32 fesquare 15 2e383m31 122.64 121.54 0.95 1950176
solinas 32 fesquare 15 2e389m21 126.57 125.52 1.04 1952468
solinas 32 fesquare 16 2e369m25 153.29 152.13 1.15 2220964
solinas 32 fesquare 16 2e379m19 148.97 148.03 0.93 2170800
solinas 32 fesquare 16 2e382m105 154.42 153.29 1.12 2318448
solinas 32 fesquare 16 2e383m187 154.96 153.79 1.16 2364620
solinas 32 fesquare 16 2e383m31 153.78 152.73 1.04 2161568
solinas 32 fesquare 16 2e389m21 153.83 152.58 1.24 2344380
solinas 32 fesquare 16 2e401m31 154.06 152.85 1.20 2239680
solinas 32 fesquare 16 2e413m21 154.61 153.09 1.33 2344308
solinas 32 fesquare 16 2e414m17 154.56 153.42 1.13 2196664
solinas 32 fesquare 16 2e416m2e208m1 333.67 330.84 2.81 5489632
solinas 32 fesquare 16 2e448m2e224m1 338.86 336.31 2.54 5543428
solinas 32 fesquare 17 2e382m105 174.01 172.56 1.23 2480496
solinas 32 fesquare 17 2e383m187 168.42 167.29 1.11 2469048
solinas 32 fesquare 17 2e383m421 169.49 168.18 1.22 2481392
solinas 32 fesquare 17 2e384m317 175.05 173.87 1.17 2480308
solinas 32 fesquare 17 2e401m31 167.03 165.95 1.06 2469524
solinas 32 fesquare 17 2e413m21 173.85 172.61 1.22 2490416
solinas 32 fesquare 17 2e414m17 172.94 171.56 1.36 2479968
solinas 32 fesquare 17 2e444m17 167.87 166.56 1.30 2513720
solinas 32 fesquare 17 2e452m3 175.38 174.02 1.13 2566152
solinas 32 fesquare 18 2e383m421 201.55 200.24 1.31 2917792
solinas 32 fesquare 18 2e384m317 208.52 206.70 1.57 2906904
solinas 32 fesquare 18 2e416m2e208m1 470.74 466.96 3.75 8061832
solinas 32 fesquare 18 2e444m17 192.83 191.36 1.47 2966184
solinas 32 fesquare 18 2e448m2e224m1 467.90 464.27 3.62 7285388
solinas 32 fesquare 18 2e450m2e225m1 456.13 452.32 3.80 8086972
solinas 32 fesquare 18 2e452m3 203.86 201.87 1.74 2897824
solinas 32 fesquare 18 2e468m17 189.98 188.65 1.32 2893508
solinas 32 fesquare 18 2e480m2e240m1 480.50 476.75 3.73 8048984
solinas 32 fesquare 19 2e468m17 242.47 240.55 1.63 3266272
solinas 32 fesquare 19 2e488m17 231.66 230.19 1.45 3144624
solinas 32 fesquare 19 2e489m21 234.15 232.61 1.53 3283580
solinas 32 fesquare 19 2e521m1 240.87 239.34 1.52 3340452
solinas 32 fesquare 20 2e450m2e225m1 571.60 567.09 4.50 10196576
solinas 32 fesquare 20 2e480m2e240m1 566.30 561.72 4.57 10196664
solinas 32 fesquare 20 2e488m17 269.05 267.40 1.63 3576116
solinas 32 fesquare 20 2e489m21 271.66 269.96 1.69 3576076
solinas 32 fesquare 20 2e495m31 267.79 265.90 1.88 3564016
solinas 32 fesquare 20 2e521m1 266.16 264.55 1.60 3564588
solinas 32 fesquare 21 2e495m31 314.49 312.76 1.72 3793548
solinas 32 fesquare 22 2e511m187 371.86 369.70 2.15 4750908
solinas 32 fesquare 23 2e511m187 426.62 424.07 2.50 5254484
solinas 32 fesquare 23 2e511m481 427.86 425.64 2.21 5254724
solinas 32 fesquare 24 2e511m481 514.18 511.66 2.51 5556240
solinas 32 fesquare 24 2e512m569 494.75 491.33 2.84 5474584
solinas 32 fesquare 25 2e512m569 596.32 592.50 3.13 5994856
