Tactic call eta-make-let-ins ran for 0.275 secs (0.275u,0.s)
Tactic call eta-make-pf ran for 0.03 secs (0.03u,0.s)
Tactic call eta-constr-pf ran for 0.005 secs (0.005u,0.s)
Tactic call eta-cast-pf ran for 0.037 secs (0.037u,0.s)
Tactic call eta-refine ran for 0. secs (0.u,0.s) (success)
Tactic call eta-refine-and-close ran for 0.001 secs (0.001u,0.s)
Tactic call make_T_eta ran for 0.379 secs (0.379u,0.s)
Tactic call make_f_ty ran for 0.022 secs (0.022u,0.s)
Tactic call make_T_rect ran for 0.029 secs (0.029u,0.s)
Tactic call making ran for 1.703 secs (1.703u,0.s)
Tactic call constr-final-goal make_final_goal ran for 0. secs (0.u,0.s)
Tactic call everything ran for 1.709 secs (1.709u,0.s) (success)
Params: n= 84
Tactic call make_Ts ran for 0.953 secs (0.953u,0.s)
Tactic call make_T ran for 0. secs (0.u,0.s)
Tactic call make_T_projs ran for 0.383 secs (0.383u,0.s)
Tactic call make_Build_T ran for 0.019 secs (0.019u,0.s)
Tactic call eta-make-let-ins ran for 0.302 secs (0.302u,0.s)
Tactic call eta-make-pf ran for 0.025 secs (0.025u,0.s)
Tactic call eta-constr-pf ran for 0.005 secs (0.005u,0.s)
Tactic call eta-cast-pf ran for 0.038 secs (0.034u,0.003s)
Tactic call eta-refine ran for 0. secs (0.u,0.s) (success)
Tactic call eta-refine-and-close ran for 0.001 secs (0.001u,0.s)
Tactic call make_T_eta ran for 0.415 secs (0.411u,0.003s)
Tactic call make_f_ty ran for 0.022 secs (0.022u,0.s)
Tactic call make_T_rect ran for 0.03 secs (0.03u,0.s)
Tactic call making ran for 1.802 secs (1.798u,0.003s)
Tactic call constr-final-goal make_final_goal ran for 0. secs (0.u,0.s)
Tactic call everything ran for 1.809 secs (1.805u,0.003s) (success)
Params: n= 85
Tactic call make_Ts ran for 1.039 secs (1.031u,0.007s)
Tactic call make_T ran for 0. secs (0.u,0.s)
Tactic call make_T_projs ran for 0.414 secs (0.414u,0.s)
Tactic call make_Build_T ran for 0.02 secs (0.02u,0.s)
Tactic call eta-make-let-ins ran for 0.333 secs (0.333u,0.s)
Tactic call eta-make-pf ran for 0.032 secs (0.032u,0.s)
Tactic call eta-constr-pf ran for 0.005 secs (0.005u,0.s)
Tactic call eta-cast-pf ran for 0.04 secs (0.04u,0.s)
Tactic call eta-refine ran for 0. secs (0.u,0.s) (success)
Tactic call eta-refine-and-close ran for 0.001 secs (0.001u,0.s)
Tactic call make_T_eta ran for 0.458 secs (0.458u,0.s)
Tactic call make_f_ty ran for 0.024 secs (0.024u,0.s)
Tactic call make_T_rect ran for 0.031 secs (0.031u,0.s)
Tactic call making ran for 1.965 secs (1.957u,0.008s)
Tactic call constr-final-goal make_final_goal ran for 0. secs (0.u,0.s)
Tactic call everything ran for 1.972 secs (1.964u,0.008s) (success)
Params: n= 86
Tactic call make_Ts ran for 1.083 secs (1.083u,0.s)
Tactic call make_T ran for 0. secs (0.u,0.s)
Tactic call make_T_projs ran for 0.438 secs (0.438u,0.s)
Tactic call make_Build_T ran for 0.021 secs (0.021u,0.s)
Tactic call eta-make-let-ins ran for 0.353 secs (0.353u,0.s)
Tactic call eta-make-pf ran for 0.026 secs (0.026u,0.s)
Tactic call eta-constr-pf ran for 0.005 secs (0.005u,0.s)
Tactic call eta-cast-pf ran for 0.039 secs (0.039u,0.s)
Tactic call eta-refine ran for 0. secs (0.u,0.s) (success)
Tactic call eta-refine-and-close ran for 0.001 secs (0.001u,0.s)
Tactic call make_T_eta ran for 0.468 secs (0.468u,0.s)
Tactic call make_f_ty ran for 0.023 secs (0.023u,0.s)
