param-n,uconstr-I-1000-real,uconstr-I-1000-sys,uconstr-I-1000-user
600,0.029,0.,0.029
601,0.029,0.,0.029
602,0.029,0.,0.029
603,0.029,0.,0.029
604,0.029,0.,0.029
605,0.03,0.,0.03
606,0.029,0.,0.029
607,0.029,0.,0.029
608,0.029,0.,0.029
609,0.029,0.,0.029
610,0.029,0.,0.029
611,0.03,0.,0.03
612,0.029,0.,0.029
613,0.03,0.,0.03
614,0.03,0.,0.03
615,0.029,0.,0.029
616,0.029,0.,0.029
617,0.03,0.,0.03
618,0.03,0.,0.03
619,0.03,0.,0.03
620,0.03,0.,0.03
621,0.03,0.,0.03
622,0.03,0.,0.03
623,0.029,0.,0.029
624,0.031,0.,0.031
625,0.03,0.,0.03
626,0.03,0.,0.03
627,0.03,0.,0.03
628,0.03,0.,0.03
629,0.03,0.,0.03
630,0.03,0.,0.03
631,0.03,0.,0.03
632,0.03,0.,0.03
633,0.03,0.,0.03
634,0.031,0.,0.031
635,0.031,0.,0.031
636,0.031,0.,0.031
637,0.031,0.,0.031
638,0.031,0.,0.031
639,0.031,0.,0.031
640,0.03,0.,0.03
641,0.031,0.,0.031
642,0.031,0.,0.031
643,0.031,0.,0.031
644,0.031,0.,0.031
645,0.031,0.,0.031
646,0.032,0.,0.032
647,0.031,0.,0.031
648,0.032,0.,0.032
649,0.031,0.,0.031
650,0.031,0.,0.031
651,0.032,0.,0.032
652,0.031,0.,0.031
653,0.031,0.,0.031
654,0.031,0.,0.031
655,0.032,0.,0.032
656,0.032,0.,0.032
657,0.031,0.,0.031
658,0.032,0.,0.032
659,0.031,0.,0.031
660,0.032,0.,0.032
661,0.032,0.,0.032
662,0.032,0.,0.032
663,0.032,0.,0.032
664,0.032,0.,0.032
665,0.032,0.,0.032
666,0.032,0.,0.032
667,0.033,0.,0.033
668,0.032,0.,0.032
669,0.032,0.,0.032
670,0.032,0.,0.032
671,0.032,0.,0.032
672,0.032,0.,0.032
673,0.033,0.,0.033
674,0.033,0.,0.033
675,0.033,0.,0.033
676,0.032,0.,0.032
677,0.034,0.,0.034
678,0.032,0.,0.032
679,0.033,0.,0.033
680,0.033,0.,0.033
681,0.033,0.,0.033
682,0.034,0.,0.034
683,0.033,0.,0.033
684,0.034,0.,0.034
685,0.033,0.,0.033
686,0.033,0.,0.033
687,0.034,0.,0.034
688,0.033,0.,0.033
689,0.033,0.,0.033
690,0.034,0.,0.034
691,0.033,0.,0.033
692,0.034,0.,0.034
693,0.033,0.,0.033
694,0.034,0.,0.034
695,0.034,0.,0.034
696,0.033,0.,0.033
697,0.033,0.,0.033
698,0.033,0.,0.033
699,0.033,0.,0.033
700,0.034,0.,0.034
701,0.034,0.,0.034
702,0.033,0.,0.033
703,0.034,0.,0.034
704,0.034,0.,0.034
705,0.034,0.,0.034
706,0.035,0.,0.035
707,0.034,0.,0.034
708,0.035,0.,0.035
709,0.034,0.,0.034
710,0.034,0.,0.034
711,0.034,0.,0.034
712,0.034,0.,0.034
713,0.034,0.,0.034
714,0.035,0.,0.035
715,0.035,0.,0.035
716,0.034,0.,0.034
717,0.035,0.,0.035
