param-n,build-real,build-sys,build-user,build-and-typecheck-real,build-and-typecheck-sys,build-and-typecheck-user,refine-real,refine-sys,refine-user,typecheck-real,typecheck-sys,typecheck-user
213,0.007,0.,0.007,0.047,0.,0.047,0.041,0.,0.041,0.04,0.,0.04
214,0.007,0.,0.007,0.047,0.,0.047,0.041,0.,0.041,0.04,0.,0.04
215,0.007,0.,0.007,0.053,0.,0.053,0.04,0.,0.04,0.045,0.,0.045
216,0.007,0.,0.007,0.049,0.,0.049,0.04,0.,0.04,0.041,0.,0.041
217,0.011,0.,0.011,0.051,0.,0.051,0.04,0.,0.04,0.04,0.,0.04
218,0.007,0.,0.007,0.049,0.,0.049,0.042,0.,0.042,0.042,0.,0.042
219,0.008,0.,0.008,0.054,0.,0.054,0.042,0.,0.042,0.045,0.,0.045
220,0.007,0.,0.007,0.05,0.,0.05,0.041,0.,0.041,0.042,0.,0.042
221,0.01,0.,0.01,0.052,0.,0.052,0.041,0.,0.041,0.041,0.,0.041
222,0.007,0.,0.007,0.051,0.,0.051,0.043,0.,0.043,0.043,0.,0.043
223,0.008,0.,0.008,0.055,0.,0.055,0.043,0.,0.043,0.047,0.,0.047
224,0.007,0.,0.007,0.051,0.,0.051,0.042,0.,0.042,0.043,0.,0.043
225,0.007,0.,0.007,0.052,0.,0.052,0.044,0.,0.044,0.044,0.,0.044
226,0.007,0.,0.007,0.052,0.,0.052,0.046,0.,0.046,0.044,0.,0.044
227,0.007,0.,0.007,0.056,0.,0.056,0.046,0.,0.046,0.048,0.,0.048
228,0.01,0.,0.01,0.059,0.,0.059,0.05,0.,0.05,0.048,0.,0.048
229,0.007,0.,0.007,0.053,0.,0.053,0.05,0.,0.05,0.045,0.,0.045
230,0.007,0.,0.007,0.06,0.,0.06,0.046,0.,0.046,0.052,0.,0.052
231,0.007,0.,0.007,0.058,0.,0.058,0.051,0.,0.051,0.05,0.,0.05
232,0.007,0.,0.007,0.056,0.003,0.052,0.05,0.,0.05,0.048,0.003,0.044
233,0.007,0.,0.007,0.06,0.,0.06,0.048,0.,0.048,0.052,0.,0.052
234,0.007,0.,0.007,0.059,0.,0.059,0.051,0.,0.051,0.051,0.,0.051
235,0.008,0.,0.007,0.058,0.,0.058,0.047,0.,0.047,0.05,0.,0.05
236,0.009,0.,0.009,0.061,0.,0.061,0.051,0.,0.051,0.051,0.,0.051
237,0.01,0.,0.01,0.057,0.,0.057,0.047,0.,0.047,0.047,0.,0.047
238,0.008,0.,0.008,0.063,0.,0.063,0.053,0.,0.053,0.054,0.,0.054
239,0.008,0.,0.008,0.058,0.,0.058,0.052,0.,0.052,0.05,0.,0.05
240,0.008,0.,0.008,0.07,0.,0.07,0.053,0.,0.053,0.062,0.,0.062
241,0.008,0.,0.008,0.057,0.,0.057,0.054,0.,0.054,0.049,0.,0.049
242,0.008,0.,0.008,0.064,0.,0.064,0.051,0.,0.051,0.056,0.,0.056
243,0.008,0.,0.008,0.064,0.,0.064,0.06,0.,0.06,0.055,0.,0.055
244,0.008,0.,0.008,0.065,0.,0.065,0.051,0.,0.051,0.056,0.,0.056
245,0.008,0.,0.008,0.068,0.,0.068,0.055,0.003,0.051,0.06,0.,0.06
246,0.008,0.,0.008,0.068,0.,0.068,0.055,0.,0.055,0.059,0.,0.059
247,0.008,0.,0.008,0.06,0.,0.06,0.056,0.,0.056,0.051,0.,0.051
248,0.008,0.,0.008,0.065,0.003,0.061,0.051,0.,0.051,0.056,0.003,0.052
249,0.01,0.,0.01,0.062,0.,0.062,0.053,0.,0.053,0.052,0.,0.052
250,0.009,0.,0.009,0.067,0.,0.067,0.059,0.003,0.055,0.058,0.,0.058
251,0.008,0.,0.008,0.066,0.,0.066,0.054,0.,0.054,0.058,0.,0.058
252,0.008,0.,0.008,0.07,0.,0.07,0.058,0.003,0.054,0.061,0.,0.061
253,0.008,0.,0.008,0.069,0.,0.069,0.055,0.,0.055,0.06,0.,0.06
254,0.01,0.,0.01,0.065,0.,0.065,0.055,0.,0.055,0.054,0.,0.054
