param-n,build-real,build-sys,build-user,build-and-typecheck-real,build-and-typecheck-sys,build-and-typecheck-user,check-real,check-sys,check-user,refine-real,refine-sys,refine-user,type-real,type-sys,type-user
2700,0.061,0.,0.061,0.548,0.,0.548,0.268,0.,0.267,0.271,0.,0.27,0.219,0.,0.218
2800,0.066,0.,0.066,0.655,0.,0.655,0.292,0.,0.292,0.272,0.,0.272,0.296,0.,0.296
2900,0.065,0.003,0.061,0.677,0.004,0.672,0.289,0.,0.289,0.305,0.,0.304,0.322,0.,0.321
3000,0.07,0.003,0.066,0.772,0.003,0.768,0.35,0.,0.349,0.274,0.,0.273,0.352,0.,0.351
3100,0.072,0.,0.072,0.678,0.,0.678,0.302,0.,0.302,0.343,0.,0.343,0.303,0.,0.302
3200,0.073,0.,0.073,0.816,0.,0.815,0.334,0.,0.334,0.403,0.,0.403,0.408,0.,0.408
3300,0.076,0.,0.076,0.95,0.,0.949,0.44,0.,0.439,0.307,0.,0.306,0.433,0.,0.432
3400,0.078,0.003,0.074,0.783,0.003,0.779,0.235,0.,0.234,0.375,0.,0.375,0.47,0.,0.469
3500,0.081,0.003,0.077,0.972,0.003,0.967,0.498,0.,0.497,0.396,0.,0.396,0.392,0.,0.392
3600,0.084,0.,0.084,0.727,0.,0.726,0.421,0.,0.421,0.425,0.,0.425,0.221,0.,0.221
3700,0.087,0.003,0.083,1.114,0.003,1.109,0.57,0.,0.57,0.572,0.,0.571,0.456,0.,0.456
