param-n,constr-final-goal-make-final-goal-real,constr-final-goal-make-final-goal-sys,constr-final-goal-make-final-goal-user,eta-cast-pf-real,eta-cast-pf-sys,eta-cast-pf-user,eta-constr-pf-real,eta-constr-pf-sys,eta-constr-pf-user,eta-make-let-ins-real,eta-make-let-ins-sys,eta-make-let-ins-user,eta-make-pf-real,eta-make-pf-sys,eta-make-pf-user,eta-refine-real,eta-refine-sys,eta-refine-user,eta-refine-and-close-real,eta-refine-and-close-sys,eta-refine-and-close-user,everything-real,everything-sys,everything-user,make-Build-T-real,make-Build-T-sys,make-Build-T-user,make-T-real,make-T-sys,make-T-user,make-T-eta-real,make-T-eta-sys,make-T-eta-user,make-T-projs-real,make-T-projs-sys,make-T-projs-user,make-T-rect-real,make-T-rect-sys,make-T-rect-user,make-Ts-real,make-Ts-sys,make-Ts-user,make-f-ty-real,make-f-ty-sys,make-f-ty-user,making-real,making-sys,making-user
34,0.,0.,0.,0.004,0.,0.004,0.002,0.,0.002,0.075,0.007,0.067,0.01,0.,0.01,0.,0.,0.,0.,0.,0.,0.403,0.015,0.387,0.006,0.003,0.002,0.,0.,0.,0.102,0.008,0.094,0.066,0.003,0.062,0.029,0.,0.029,0.195,0.,0.194,0.026,0.,0.026,0.4,0.015,0.384
35,0.,0.,0.,0.004,0.,0.004,0.002,0.,0.002,0.075,0.,0.075,0.01,0.,0.01,0.,0.,0.,0.,0.,0.,0.405,0.,0.405,0.006,0.,0.006,0.,0.,0.,0.102,0.,0.102,0.078,0.,0.078,0.011,0.,0.011,0.202,0.,0.202,0.007,0.,0.007,0.402,0.,0.401
36,0.,0.,0.,0.004,0.,0.004,0.002,0.,0.002,0.084,0.,0.084,0.01,0.,0.01,0.,0.,0.,0.,0.,0.,0.448,0.,0.448,0.006,0.,0.006,0.,0.,0.,0.113,0.,0.113,0.084,0.,0.084,0.011,0.,0.011,0.228,0.,0.227,0.007,0.,0.007,0.445,0.,0.445
37,0.,0.,0.,0.005,0.,0.005,0.002,0.,0.002,0.078,0.,0.078,0.011,0.,0.011,0.,0.,0.,0.,0.,0.,0.446,0.,0.446,0.006,0.,0.006,0.,0.,0.,0.107,0.,0.107,0.079,0.,0.079,0.011,0.,0.011,0.231,0.,0.231,0.007,0.,0.007,0.437,0.,0.437
38,0.,0.,0.,0.005,0.,0.005,0.002,0.,0.002,0.078,0.,0.078,0.011,0.,0.011,0.,0.,0.,0.,0.,0.,0.455,0.,0.454,0.007,0.,0.007,0.,0.,0.,0.114,0.,0.114,0.085,0.,0.085,0.011,0.,0.011,0.233,0.,0.232,0.007,0.,0.007,0.452,0.,0.451
39,0.,0.,0.,0.005,0.,0.005,0.002,0.,0.002,0.073,0.,0.073,0.017,0.,0.017,0.,0.,0.,0.001,0.,0.001,0.485,0.,0.485,0.018,0.,0.018,0.,0.,0.,0.11,0.,0.11,0.091,0.,0.091,0.012,0.,0.012,0.248,0.,0.248,0.008,0.,0.008,0.482,0.,0.482
40,0.,0.,0.,0.019,0.,0.019,0.002,0.,0.002,0.081,0.,0.081,0.012,0.,0.012,0.,0.,0.,0.,0.,0.,0.516,0.,0.516,0.007,0.,0.007,0.,0.,0.,0.128,0.,0.127,0.105,0.,0.105,0.012,0.,0.012,0.259,0.,0.259,0.008,0.,0.008,0.513,0.,0.512
41,0.,0.,0.,0.006,0.,0.006,0.002,0.,0.002,0.096,0.,0.096,0.012,0.,0.012,0.,0.,0.,0.001,0.,0.001,0.557,0.,0.556,0.007,0.,0.007,0.,0.,0.,0.136,0.,0.136,0.103,0.,0.103,0.012,0.,0.012,0.292,0.,0.292,0.008,0.,0.008,0.553,0.,0.553
42,0.,0.,0.,0.006,0.,0.006,0.002,0.,0.002,0.133,0.,0.133,0.012,0.,0.012,0.,0.,0.,0.001,0.,0.001,0.637,0.,0.636,0.008,0.,0.008,0.,0.,0.,0.186,0.,0.186,0.125,0.,0.125,0.013,0.,0.013,0.299,0.,0.298,0.009,0.,0.009,0.633,0.,0.632
43,0.,0.,0.,0.007,0.,0.007,0.015,0.,0.015,0.112,0.,0.112,0.013,0.,0.013,0.,0.,0.,0.001,0.,0.001,0.642,0.,0.641,0.007,0.,0.007,0.,0.,0.,0.161,0.,0.161,0.129,0.,0.129,0.013,0.,0.013,0.326,0.,0.325,0.009,0.,0.009,0.638,0.,0.638
44,0.,0.,0.,0.007,0.,0.007,0.002,0.,0.002,0.113,0.,0.113,0.013,0.,0.013,0.,0.,0.,0.001,0.,0.001,0.694,0.,0.693,0.019,0.,0.019,0.,0.,0.,0.15,0.,0.15,0.132,0.,0.132,0.018,0.,0.018,0.368,0.,0.368,0.013,0.,0.013,0.69,0.,0.689
45,0.,0.,0.,0.007,0.,0.007,0.002,0.,0.002,0.116,0.,0.116,0.027,0.,0.027,0.,0.,0.,0.001,0.,0.001,0.706,0.,0.705,0.008,0.,0.008,0.,0.,0.,0.169,0.,0.169,0.143,0.,0.143,0.014,0.,0.014,0.366,0.,0.365,0.009,0.,0.009,0.702,0.,0.701
46,0.,0.,0.,0.008,0.,0.008,0.002,0.,0.002,0.119,0.,0.118,0.023,0.,0.023,0.,0.,0.,0.001,0.,0.001,0.723,0.,0.722,0.008,0.,0.008,0.,0.,0.,0.167,0.,0.167,0.146,0.,0.145,0.014,0.,0.014,0.381,0.,0.381,0.01,0.,0.01,0.719,0.,0.718
47,0.,0.,0.,0.009,0.,0.009,0.003,0.,0.003,0.137,0.,0.137,0.018,0.,0.018,0.,0.,0.,0.001,0.,0.001,0.75,0.003,0.745,0.008,0.,0.008,0.,0.,0.,0.183,0.,0.183,0.14,0.,0.14,0.014,0.,0.014,0.391,0.003,0.387,0.01,0.,0.01,0.739,0.003,0.735
48,0.,0.,0.,0.024,0.,0.024,0.003,0.,0.003,0.132,0.,0.131,0.014,0.,0.014,0.,0.,0.,0.001,0.,0.001,0.823,0.011,0.81,0.021,0.004,0.017,0.,0.,0.,0.189,0.,0.189,0.165,0.,0.164,0.015,0.,0.015,0.427,0.003,0.423,0.01,0.,0.01,0.819,0.008,0.81
49,0.,0.,0.,0.009,0.,0.009,0.003,0.,0.003,0.131,0.,0.131,0.026,0.,0.026,0.,0.,0.,0.001,0.,0.001,0.824,0.004,0.819,0.009,0.,0.009,0.,0.,0.,0.186,0.,0.186,0.17,0.004,0.166,0.02,0.,0.02,0.432,0.,0.431,0.016,0.,0.016,0.82,0.004,0.815
50,0.,0.,0.,0.01,0.,0.01,0.003,0.,0.003,0.141,0.,0.141,0.02,0.,0.02,0.,0.,0.,0.001,0.,0.001,0.859,0.003,0.854,0.009,0.,0.009,0.,0.,0.,0.192,0.,0.192,0.172,0.003,0.168,0.02,0.,0.02,0.458,0.,0.458,0.011,0.,0.011,0.854,0.003,0.85
51,0.,0.,0.,0.01,0.,0.01,0.003,0.,0.003,0.17,0.,0.17,0.015,0.,0.015,0.,0.,0.,0.001,0.,0.001,0.92,0.003,0.915,0.009,0.,0.009,0.,0.,0.,0.222,0.,0.221,0.187,0.,0.187,0.016,0.,0.016,0.479,0.003,0.474,0.011,0.,0.011,0.916,0.003,0.911
52,0.,0.,0.,0.011,0.,0.011,0.015,0.,0.015,0.179,0.,0.179,0.015,0.,0.015,0.,0.,0.,0.001,0.,0.001,1.013,0.,1.012,0.018,0.,0.018,0.,0.,0.,0.255,0.,0.255,0.207,0.,0.206,0.017,0.,0.017,0.509,0.,0.509,0.011,0.,0.011,1.008,0.,1.007
53,0.,0.,0.,0.011,0.,0.011,0.003,0.,0.003,0.204,0.,0.204,0.03,0.,0.03,0.,0.,0.,0.001,0.,0.001,1.081,0.,1.08,0.011,0.,0.011,0.,0.,0.,0.269,0.,0.269,0.229,0.,0.229,0.018,0.,0.018,0.546,0.,0.546,0.013,0.,0.012,1.076,0.,1.075
54,0.,0.,0.,0.012,0.,0.012,0.003,0.,0.003,0.235,0.,0.235,0.016,0.,0.016,0.,0.,0.,0.001,0.,0.001,1.148,0.,1.147,0.011,0.,0.011,0.,0.,0.,0.294,0.,0.293,0.239,0.,0.239,0.017,0.,0.017,0.58,0.,0.579,0.012,0.,0.012,1.144,0.,1.143
55,0.,0.,0.,0.025,0.,0.025,0.003,0.,0.003,0.241,0.,0.241,0.016,0.,0.016,0.,0.,0.,0.001,0.,0.001,1.205,0.,1.204,0.011,0.,0.011,0.,0.,0.,0.312,0.,0.312,0.247,0.,0.247,0.018,0.,0.018,0.61,0.,0.609,0.012,0.,0.012,1.201,0.,1.2
56,0.,0.,0.,0.013,0.,0.013,0.003,0.,0.003,0.224,0.,0.224,0.029,0.,0.029,0.,0.,0.,0.001,0.,0.001,1.224,0.,1.223,0.019,0.,0.019,0.,0.,0.,0.294,0.,0.294,0.235,0.,0.235,0.017,0.,0.017,0.651,0.,0.65,0.012,0.,0.012,1.22,0.,1.218
57,0.,0.,0.,0.013,0.,0.013,0.003,0.,0.003,0.24,0.,0.24,0.027,0.,0.027,0.,0.,0.,0.001,0.,0.001,1.265,0.,1.264,0.012,0.,0.012,0.,0.,0.,0.31,0.,0.309,0.272,0.,0.272,0.018,0.,0.018,0.646,0.,0.646,0.013,0.,0.013,1.261,0.,1.259
58,0.,0.,0.,0.019,0.,0.019,0.003,0.,0.003,0.257,0.,0.257,0.017,0.,0.017,0.,0.,0.,0.001,0.,0.001,1.304,0.,1.303,0.012,0.,0.012,0.,0.,0.,0.318,0.,0.318,0.271,0.,0.271,0.019,0.,0.019,0.677,0.,0.676,0.013,0.,0.013,1.299,0.,1.298
59,0.,0.,0.,0.015,0.,0.015,0.008,0.,0.008,0.269,0.,0.269,0.017,0.,0.017,0.,0.,0.,0.001,0.,0.001,1.367,0.,1.366,0.012,0.,0.012,0.,0.,0.,0.332,0.,0.331,0.289,0.,0.289,0.019,0.,0.019,0.707,0.,0.707,0.013,0.,0.013,1.363,0.,1.361
60,0.,0.,0.,0.034,0.,0.034,0.003,0.,0.003,0.074,0.,0.074,0.017,0.,0.017,0.,0.,0.,0.001,0.,0.001,0.463,0.015,0.447,0.024,0.,0.024,0.,0.,0.,0.149,0.,0.149,0.055,0.,0.055,0.019,0.,0.019,0.209,0.015,0.193,0.013,0.,0.013,0.458,0.015,0.442
61,0.,0.,0.,0.037,0.,0.037,0.003,0.,0.003,0.077,0.007,0.07,0.017,0.,0.017,0.,0.,0.,0.001,0.,0.001,0.453,0.007,0.445,0.011,0.,0.011,0.,0.,0.,0.157,0.007,0.149,0.079,0.,0.079,0.019,0.,0.019,0.179,0.,0.179,0.013,0.,0.013,0.449,0.007,0.44
