param-n,assert-real,assert-sys,assert-user,build-real,build-sys,build-user,cbn-real,cbn-sys,cbn-user,destruct-real,destruct-sys,destruct-user,record-real,record-sys,record-user
350,0.,0.,0.,0.,0.,0.,0.028,0.,0.028,0.071,0.,0.071,0.423,0.,0.423
355,0.,0.,0.,0.,0.,0.,0.029,0.,0.029,0.072,0.,0.072,0.44,0.,0.44
360,0.,0.,0.,0.,0.,0.,0.031,0.,0.031,0.075,0.,0.075,1.296,0.015,1.28
365,0.,0.,0.,0.,0.,0.,0.032,0.,0.032,0.076,0.,0.076,0.457,0.,0.457
370,0.,0.,0.,0.,0.,0.,0.033,0.,0.033,0.078,0.,0.078,0.484,0.,0.484
375,0.,0.,0.,0.,0.,0.,0.036,0.,0.036,0.079,0.,0.079,0.494,0.,0.494
380,0.,0.,0.,0.,0.,0.,0.034,0.,0.034,0.082,0.,0.082,0.48,0.,0.48
385,0.,0.,0.,0.,0.,0.,0.036,0.,0.036,0.083,0.,0.083,0.502,0.,0.502
390,0.,0.,0.,0.,0.,0.,0.038,0.,0.038,0.085,0.,0.085,0.512,0.,0.512
395,0.,0.,0.,0.,0.,0.,0.039,0.,0.039,0.087,0.,0.087,0.524,0.,0.524
400,0.,0.,0.,0.,0.,0.,0.039,0.,0.039,0.09,0.,0.09,0.551,0.,0.551
405,0.,0.,0.,0.,0.,0.,0.041,0.,0.041,0.092,0.,0.092,2.038,0.048,1.99
410,0.,0.,0.,0.,0.,0.,0.043,0.,0.043,0.094,0.,0.094,0.577,0.,0.577
415,0.,0.,0.,0.,0.,0.,0.047,0.,0.047,0.097,0.,0.097,0.589,0.,0.589
420,0.,0.,0.,0.,0.,0.,0.044,0.,0.044,0.099,0.,0.099,0.591,0.,0.591
425,0.,0.,0.,0.,0.,0.,0.045,0.,0.045,0.102,0.,0.102,0.618,0.,0.618
430,0.,0.,0.,0.,0.,0.,0.047,0.,0.047,0.103,0.,0.103,0.646,0.,0.646
435,0.,0.,0.,0.,0.,0.,0.048,0.,0.048,0.105,0.,0.105,0.639,0.,0.639
440,0.,0.,0.,0.,0.,0.,0.048,0.,0.048,0.108,0.,0.108,0.679,0.,0.679
445,0.,0.,0.,0.,0.,0.,0.049,0.,0.049,0.11,0.,0.11,0.656,0.,0.656
450,0.,0.,0.,0.,0.,0.,0.057,0.,0.057,0.114,0.,0.114,0.678,0.,0.678
500,0.,0.,0.,0.,0.,0.,0.049,0.,0.049,0.16,0.,0.16,3.735,0.071,3.663
600,0.,0.,0.,0.,0.,0.,0.063,0.,0.063,0.226,0.,0.226,1.312,0.,1.312
700,0.,0.,0.,0.,0.,0.,0.098,0.,0.098,0.282,0.,0.282,1.832,0.004,1.828
800,0.,0.,0.,0.,0.,0.,0.101,0.,0.101,0.382,0.,0.382,2.545,0.,2.545
900,0.,0.,0.,0.,0.,0.,0.032,0.,0.032,0.573,0.,0.573,3.371,0.003,3.367
1000,0.,0.,0.,0.,0.,0.,0.056,0.,0.056,0.685,0.,0.685,6.821,0.107,6.713
1100,0.,0.,0.,0.,0.,0.,0.074,0.,0.074,0.827,0.,0.827,4.841,0.,4.841
1200,0.,0.,0.,0.,0.,0.,0.051,0.,0.051,0.982,0.003,0.978,5.778,0.,5.778
1300,0.,0.,0.,0.,0.,0.,0.067,0.,0.067,1.124,0.,1.124,10.825,0.223,10.601
1400,0.,0.,0.,0.,0.,0.,0.051,0.,0.051,1.337,0.,1.337,6.912,0.,6.912
1500,0.,0.,0.,0.,0.,0.,0.074,0.,0.074,1.505,0.,1.505,8.234,0.004,8.23
