param-n build-and-open-real build-and-open-sys build-and-open-user open-constr-real open-constr-sys open-constr-user uconstr-real uconstr-sys uconstr-user
230 0.022 0. 0.022 0.019 0. 0.019 0.003 0. 0.003
231 0.023 0. 0.023 0.019 0. 0.019 0.003 0. 0.003
232 0.023 0. 0.023 0.019 0. 0.019 0.003 0. 0.003
233 0.023 0. 0.023 0.02 0. 0.02 0.003 0. 0.003
234 0.026 0.003 0.022 0.023 0.003 0.019 0.003 0. 0.003
235 0.023 0. 0.023 0.02 0. 0.02 0.003 0. 0.003
236 0.023 0. 0.023 0.02 0. 0.02 0.003 0. 0.003
237 0.03 0. 0.03 0.02 0. 0.02 0.009 0. 0.009
238 0.024 0. 0.024 0.02 0. 0.02 0.003 0. 0.003
239 0.029 0. 0.029 0.025 0. 0.025 0.003 0. 0.003
240 0.024 0. 0.024 0.02 0. 0.02 0.003 0. 0.003
241 0.024 0. 0.024 0.021 0. 0.021 0.003 0. 0.003
242 0.033 0. 0.033 0.021 0. 0.021 0.011 0. 0.011
243 0.025 0. 0.025 0.021 0. 0.021 0.003 0. 0.003
244 0.029 0. 0.029 0.025 0. 0.025 0.003 0. 0.003
245 0.025 0. 0.025 0.021 0. 0.021 0.003 0. 0.003
246 0.025 0. 0.025 0.022 0. 0.022 0.003 0. 0.003
247 0.025 0. 0.025 0.022 0. 0.022 0.003 0. 0.003
248 0.026 0. 0.026 0.023 0. 0.023 0.003 0. 0.003
249 0.027 0. 0.027 0.023 0. 0.023 0.003 0. 0.003
250 0.026 0. 0.026 0.023 0. 0.023 0.003 0. 0.003
251 0.028 0. 0.028 0.024 0. 0.024 0.003 0. 0.003
252 0.027 0. 0.027 0.023 0. 0.023 0.003 0. 0.003
253 0.027 0. 0.027 0.023 0. 0.023 0.003 0. 0.003
254 0.027 0. 0.027 0.023 0. 0.023 0.003 0. 0.003
255 0.027 0. 0.027 0.023 0. 0.023 0.003 0. 0.003
256 0.028 0. 0.028 0.024 0. 0.024 0.003 0. 0.003
257 0.051 0. 0.051 0.047 0. 0.047 0.003 0. 0.003
258 0.038 0. 0.038 0.035 0. 0.035 0.003 0. 0.003
259 0.038 0. 0.038 0.034 0. 0.034 0.003 0. 0.003
260 0.04 0.007 0.032 0.036 0.007 0.028 0.003 0. 0.003
261 0.043 0. 0.043 0.039 0. 0.039 0.003 0. 0.003
262 0.045 0. 0.045 0.041 0. 0.041 0.003 0. 0.003
263 0.044 0. 0.044 0.04 0. 0.04 0.003 0. 0.003
264 0.045 0. 0.045 0.041 0. 0.041 0.003 0. 0.003
265 0.047 0. 0.047 0.043 0. 0.043 0.003 0. 0.003
266 0.065 0. 0.065 0.061 0. 0.061 0.003 0. 0.003
267 0.062 0. 0.062 0.058 0. 0.058 0.003 0. 0.003
268 0.059 0. 0.059 0.055 0. 0.055 0.003 0. 0.003
269 0.06 0.004 0.056 0.056 0.004 0.052 0.003 0. 0.003
270 0.054 0. 0.054 0.05 0. 0.05 0.003 0. 0.003
271 0.047 0.003 0.043 0.043 0.003 0.039 0.003 0. 0.003
272 0.046 0. 0.046 0.042 0. 0.042 0.003 0. 0.003
273 0.048 0. 0.048 0.044 0. 0.044 0.003 0. 0.003
274 0.048 0. 0.048 0.044 0. 0.044 0.003 0. 0.003
275 0.048 0. 0.048 0.044 0. 0.044 0.004 0. 0.004
276 0.05 0.003 0.046 0.045 0.003 0.042 0.004 0. 0.004
277 0.049 0. 0.049 0.045 0. 0.045 0.004 0. 0.004
278 0.05 0.003 0.046 0.046 0.003 0.042 0.004 0. 0.004
279 0.046 0. 0.046 0.042 0. 0.042 0.004 0. 0.004
280 0.075 0. 0.075 0.071 0. 0.071 0.004 0. 0.004
281 0.071 0. 0.071 0.066 0. 0.066 0.004 0. 0.004
282 0.069 0. 0.07 0.065 0. 0.065 0.004 0. 0.004
283 0.063 0. 0.063 0.059 0. 0.059 0.004 0. 0.004
284 0.06 0. 0.06 0.056 0. 0.056 0.004 0. 0.004
285 0.054 0. 0.054 0.05 0. 0.05 0.004 0. 0.004
