param-n,build-real,build-sys,build-user,build-and-typecheck-real,build-and-typecheck-sys,build-and-typecheck-user,refine-real,refine-sys,refine-user,typecheck-real,typecheck-sys,typecheck-user
218,0.009,0.,0.009,0.013,0.,0.013,0.004,0.,0.004,0.004,0.,0.004
219,0.009,0.,0.009,0.013,0.,0.013,0.005,0.,0.005,0.004,0.,0.004
220,0.009,0.,0.009,0.014,0.,0.014,0.004,0.,0.004,0.004,0.,0.004
221,0.009,0.,0.009,0.014,0.,0.014,0.004,0.,0.004,0.005,0.,0.005
222,0.009,0.,0.009,0.014,0.,0.014,0.004,0.,0.004,0.004,0.,0.004
223,0.01,0.,0.01,0.014,0.,0.014,0.004,0.,0.004,0.004,0.,0.004
224,0.009,0.,0.009,0.014,0.,0.014,0.004,0.,0.004,0.004,0.,0.004
225,0.01,0.,0.01,0.014,0.,0.014,0.004,0.,0.004,0.004,0.,0.004
226,0.009,0.,0.009,0.014,0.,0.014,0.004,0.,0.004,0.004,0.,0.004
227,0.01,0.,0.01,0.014,0.,0.015,0.004,0.,0.004,0.004,0.,0.004
228,0.009,0.,0.009,0.014,0.,0.014,0.005,0.,0.005,0.004,0.,0.004
229,0.01,0.,0.01,0.015,0.,0.015,0.005,0.,0.005,0.004,0.,0.004
230,0.009,0.,0.009,0.015,0.,0.015,0.005,0.,0.005,0.004,0.,0.004
231,0.009,0.,0.009,0.014,0.,0.014,0.005,0.,0.005,0.004,0.,0.004
232,0.009,0.,0.009,0.015,0.,0.015,0.005,0.,0.005,0.005,0.,0.005
233,0.01,0.,0.01,0.015,0.,0.015,0.005,0.,0.005,0.005,0.,0.005
234,0.011,0.,0.011,0.015,0.,0.015,0.005,0.,0.005,0.004,0.,0.004
235,0.01,0.,0.01,0.015,0.,0.015,0.005,0.,0.005,0.004,0.,0.004
236,0.011,0.,0.011,0.016,0.,0.016,0.005,0.,0.005,0.004,0.,0.004
237,0.01,0.,0.01,0.015,0.,0.015,0.005,0.,0.005,0.005,0.,0.005
238,0.01,0.,0.01,0.015,0.,0.015,0.005,0.,0.005,0.005,0.,0.005
239,0.01,0.,0.01,0.015,0.,0.015,0.006,0.,0.006,0.005,0.,0.005
240,0.01,0.,0.01,0.015,0.,0.015,0.005,0.,0.005,0.005,0.,0.005
241,0.011,0.,0.011,0.016,0.003,0.012,0.005,0.,0.005,0.005,0.003,0.001
242,0.01,0.,0.01,0.015,0.,0.015,0.005,0.,0.005,0.005,0.,0.005
243,0.011,0.,0.011,0.016,0.,0.016,0.005,0.,0.005,0.005,0.,0.005
244,0.01,0.,0.01,0.015,0.,0.015,0.006,0.,0.006,0.005,0.,0.005
245,0.01,0.,0.01,0.016,0.,0.016,0.005,0.,0.005,0.005,0.,0.005
246,0.011,0.,0.011,0.016,0.,0.016,0.005,0.,0.005,0.005,0.,0.005
247,0.01,0.,0.01,0.015,0.,0.015,0.005,0.,0.005,0.005,0.,0.005
248,0.011,0.,0.011,0.016,0.,0.016,0.005,0.,0.005,0.005,0.,0.005
249,0.01,0.,0.01,0.016,0.,0.016,0.005,0.,0.005,0.005,0.,0.005
250,0.01,0.,0.01,0.016,0.,0.016,0.005,0.,0.005,0.005,0.,0.005
251,0.011,0.,0.011,0.016,0.,0.017,0.005,0.,0.005,0.005,0.,0.005
252,0.01,0.,0.01,0.016,0.,0.016,0.005,0.,0.005,0.005,0.,0.005
253,0.011,0.,0.011,0.017,0.,0.017,0.005,0.,0.005,0.005,0.,0.005
254,0.01,0.,0.01,0.016,0.,0.016,0.006,0.,0.006,0.005,0.,0.005
255,0.01,0.,0.01,0.016,0.,0.016,0.006,0.,0.006,0.005,0.,0.005
256,0.012,0.,0.012,0.017,0.,0.017,0.006,0.,0.006,0.005,0.,0.005
257,0.01,0.,0.01,0.016,0.,0.016,0.006,0.,0.006,0.005,0.,0.005
258,0.011,0.,0.011,0.017,0.,0.017,0.006,0.,0.006,0.005,0.,0.005
